LAD13CD,LAD21NM,year,EmpRate,QualProportion,LTsick,digital,MaxMinRatio,Access,ratio_80_20,AffRatio,child_poverty,food,Decent,Turnout,PermEmp,tdr,sr,le_both,le_var_abs_both,le_var_rel_both,le_male,le_var_abs_male,le_var_rel_male,le_female,le_var_abs_female,le_var_rel_female,Cluster
E06000001,Hartlepool,2020,68.8,78.72,9.61,74.1379,5.2353,62.07,2.74,5.7207,37.79,15.29,19.8,35.88,94.82,60.4452,0.9603,78.8609,11.8256,0.15,76.5641,12.4728,0.1629,81.224,11.0297,0.1358,1
E06000002,Middlesbrough,2020,64,74.58,7.26,61.6279,5.6024,50,3.15,5.9145,39.42,16.59,24.7,35.74,94.53,57.3497,0.979,78.0044,11.6126,0.1489,76.0622,12.083,0.1589,80.0185,11.0324,0.1379,1
E06000003,Redcar and Cleveland,2020,68.2,77.24,7.9,60.2273,3.4127,95.45,2.83,6.1319,36.78,13.3,25.5,37.61,95.8,65.942,0.9434,79.7101,11.724,0.1471,77.7372,12.6125,0.1622,81.6951,10.7661,0.1318,1
E06000004,Stockton-on-Tees,2020,72.5,86.07,6.1,48.3333,3.7346,81.67,3.01,6.3642,35.3,13.01,16.4,36,95.51,59.7087,0.9799,80.3805,11.1417,0.1386,78.8089,11.4587,0.1454,81.9881,10.7483,0.1311,1
E06000005,Darlington,2020,73.7,81.7,5.67,49.2308,4.411,32.31,2.94,6.2122,36.1,11.55,23.3,39.09,96.13,61.8401,0.9509,80.0011,11.3166,0.1415,78.5378,11.7444,0.1495,81.4931,10.855,0.1332,1
E06000006,Halton,2020,76.5,83.5,7.21,56.962,3.1197,35.44,2.94,6.4116,29.35,13.69,15.6,37.21,96.45,59.2866,0.9474,79.9345,11.2807,0.1411,78.0986,11.7211,0.1501,81.8268,10.7538,0.1314,1
E06000007,Warrington,2020,82.6,82.87,3.32,30.7087,3.6916,51.18,2.92,8.3551,25.39,8.74,19,36.04,95.36,58.3522,0.982,80.9636,10.7263,0.1325,79.1486,11.2184,0.1417,82.8593,10.1081,0.122,2
E06000008,Blackburn with Darwen,2020,68.9,69.35,7.95,61.5385,2.7226,30.77,2.22,5.9502,36.13,16.51,26.5,29.56,96.85,56.8443,1.0067,78.1158,11.6432,0.1491,75.9381,12.1803,0.1604,80.5376,10.8631,0.1349,1
E06000009,Blackpool,2020,74.7,77.55,8.68,75.5319,2.0816,53.19,2.64,6.0071,34.11,13.8,32.1,32.14,95.09,61.9159,0.9828,76.3058,12.8104,0.1679,73.4985,13.5736,0.1847,79.3872,11.6992,0.1474,1
E06000010,"Kingston upon Hull, City of",2020,76.6,69.42,7.54,64.4578,2.125,40.36,2.55,5.7798,36.35,13.99,23.2,27.38,96.7,52.3529,1.0156,77.7341,11.6659,0.1501,75.4452,12.2686,0.1626,80.2557,10.7821,0.1343,1
